,TotalCells,TotalSpots,InfectedCells,InfectionRate,MedianSpotsPerInfectedCell
A1,726.0,5993.0,155,21.349862258953166,23.0
A2,593.0,5176.0,165,27.82462057335582,16.0
A3,759.0,7076.0,232,30.566534914361,18.0
A4,679.0,6243.0,170,25.03681885125184,23.0
A5,601.0,5898.0,164,27.287853577371045,19.5
A6,715.0,6112.0,187,26.153846153846157,18.0
A7,551.0,4285.0,172,31.21597096188748,13.0
A8,625.0,5036.0,161,25.759999999999998,17.0
A9,602.0,4569.0,159,26.411960132890368,13.0
A10,673.0,6141.0,204,30.312035661218424,17.0
A11,693.0,7408.0,230,33.18903318903319,19.0
A12,724.0,4412.0,173,23.895027624309392,13.0
A13,478.0,3651.0,139,29.079497907949794,12.0
A14,541.0,3636.0,169,31.23844731977819,10.0
A15,526.0,4701.0,171,32.50950570342205,14.0
A16,653.0,6087.0,199,30.474732006125578,18.0
A17,588.0,4384.0,182,30.952380952380953,10.0
A18,567.0,4597.0,188,33.15696649029982,12.0
A19,639.0,5262.0,177,27.699530516431924,13.0
A20,709.0,7132.0,245,34.55571227080395,16.0
A21,660.0,6780.0,229,34.696969696969695,16.0
A22,661.0,7567.0,217,32.829046898638424,19.0
A23,615.0,5239.0,158,25.691056910569106,18.0
A24,590.0,5757.0,194,32.88135593220339,19.5
B1,773.0,9101.0,231,29.88357050452781,23.0
B2,594.0,5875.0,179,30.134680134680135,15.0
B3,680.0,6668.0,160,23.52941176470588,22.0
B4,394.0,15128.0,296,75.1269035532995,39.0
B5,595.0,14210.0,375,63.02521008403361,30.0
B6,650.0,13621.0,457,70.3076923076923,21.0
B7,565.0,5354.0,254,44.955752212389385,13.0
B8,616.0,3148.0,183,29.707792207792206,10.0
B9,698.0,4833.0,223,31.94842406876791,13.0
B10,485.0,19283.0,404,83.29896907216495,39.0
B11,574.0,18673.0,463,80.66202090592334,33.0
B12,479.0,13001.0,376,78.49686847599166,26.0
B13,440.0,1894.0,164,37.27272727272727,8.0
B14,451.0,2545.0,161,35.69844789356985,10.0
B15,557.0,3569.0,167,29.982046678635548,11.0
B16,255.0,11510.0,177,69.41176470588235,49.0
B17,433.0,16524.0,351,81.06235565819861,35.0
B18,604.0,16999.0,459,75.99337748344371,29.0
B19,619.0,4376.0,266,42.972536348949916,12.0
B20,608.0,3113.0,173,28.45394736842105,11.0
B21,433.0,2222.0,118,27.25173210161663,9.0
B22,543.0,3262.0,126,23.204419889502763,10.5
B23,602.0,5416.0,160,26.578073089701,19.0
B24,588.0,6759.0,182,30.952380952380953,19.0
C1,826.0,9501.0,256,30.99273607748184,20.0
C2,685.0,5523.0,168,24.525547445255473,17.0
C3,657.0,7972.0,205,31.202435312024352,25.0
C4,177.0,10455.0,124,70.05649717514125,64.0
C5,471.0,816.0,65,13.800424628450106,8.0
C6,610.0,2588.0,144,23.60655737704918,9.0
C7,628.0,4443.0,153,24.363057324840764,15.0
C8,559.0,3567.0,114,20.39355992844365,11.0
C9,475.0,3551.0,115,24.210526315789473,14.0
C10,10.0,131.0,2,20.0,65.5
C11,27.0,4742.0,5,18.51851851851852,1048.0
C12,533.0,5882.0,179,33.58348968105066,22.0
C13,559.0,1718.0,110,19.67799642218247,8.0
C14,606.0,3807.0,183,30.198019801980198,9.0
C15,635.0,6058.0,177,27.874015748031493,20.0
C16,502.0,1349.0,100,19.9203187250996,8.0
